LIT,Unit_Name,Subunit_Name,Action,Action_yn
MDC,Duck Ponds,Duck Ponds,,N
MDC,Flournoy Pond,Flournoy Pond,,N
MDC,Gadwall,Gadwall,,N
MDC,Grandma Tract 10,Grandma Tract 10,disced 2018,Y
MDC,Grandma Tract 11,Grandma Tract 11,,N
MDC,Grandma Tract 2,Grandma Tract 2,disced 2020,Y
MDC,Grandma Tract 3,Grandma Tract 3,disced 2020 and 2019,Y
MDC,Grandma Tract 4,Grandma Tract 4,disced 2020,Y
MDC,Grandma Tract 7,Grandma Tract 7,,N
MDC,Grandma Tract 8,Grandma Tract 8,disced 2018,Y
MDC,Grandma Tract 9,Grandma Tract 9,,N
MDC,House Field,House Field,,N
MDC,J Pond,J Pond,,N
MDC,Lower Goose Pond,Lower Goose Pond,,N
MDC,Matney 3,Matney 3,,N
MDC,Matney 4 North,Matney 4 North,,N
MDC,Matney 4 South,Matney 4 South,,N
MDC,Matney 6,Matney 6,,N
MDC,Matney 7,Matney 7,disced 2020,Y
MDC,Matney 8,Matney 8,,N
MDC,Middle Goose Pond,Middle Goose Pond,,N
MDC,South Dam Pond,South Dam Pond,,N
MDC,Upper Goose Pond,Upper Goose Pond,,N