OBJECTID,LIT,Unit_Name,Subunit_Name,Acreage,Shape_Length,Shape_Area
1,CLS,T6,T6:2,34.047838,2081.284636,229639.4863
2,CLS,T6,T6:4,28.541707,2204.566339,192471.9795
3,CLS,T6,T6:3,45.351486,2286.438713,305854.0767
4,CLS,T6,T6:1,26.586726,1704.044714,179331.7758
5,CLS,T24,T24:5,28.155443,1848.175633,189666.1488
6,CLS,T24,T24:4,33.904536,2056.029253,228415.8162
7,CLS,T10,T10:3,42.938028,2162.880499,289512.9492
8,CLS,T6A,T6A,41.176982,4196.976399,277692.5442
9,CLS,T5,T5,97.66695,3876.123409,658620.1222
10,CLS,T15,T15:4,76.079378,3160.733696,512635.3467
11,CLS,T17,T17,86.136712,3686.689498,580402.1551
12,CLS,T15,T15:1,35.105569,2792.530276,236544.4137
13,CLS,T15,T15:2,41.157312,3213.659155,277320.1353
14,CLS,T15,T15:3,74.220946,3416.344,500108.8576
15,CLS,T13A,T13A,89.042373,3194.250562,600098.204
16,CLS,T27,T27.3,176.729049,5098.662313,1190242.372
17,KRN,14,14G-1,133.015584,4567.359375,819013.1801
18,KRN,14,14E-1,85.878889,4701.339064,528684.7243
19,KRN,14,14-F,102.505023,3659.738623,631065.3771
20,KRN,14,14C-1,92.721474,3185.968451,570735.6665
21,KRN,14,14A-1,60.396917,2920.076827,371671.4151
22,KRN,14,14B-2,91.715002,4035.488272,564421.4847
23,KRN,14,14D-1,82.396947,4161.784749,507171.5126
24,KRN,6A,6A-1,53.927399,2596.715683,332046.9956
25,KRN,6A,6A-2,50.005512,2510.185502,307900.9825
26,KRN,6A,6A-4,28.409973,1984.445015,174933.6402
27,KRN,6A,6A-5,34.053423,2263.467626,209671.517
28,KRN,5B,5B-1,22.798682,1751.653585,140361.8839
29,KRN,5B,5B-3,57.544159,2461.035568,354259.8943
30,KRN,5B,5B-5,50.14782,2474.70688,308732.6912
31,KRN,5B,5B-6,31.988325,2015.634124,196939.4365
32,KRN,5B,5B-2,29.479734,1849.395774,181479.9612
33,KRN,5B,5B-7,29.784546,2139.20087,183353.5265
34,KRN,5A,5A-5,33.028077,2056.758446,203307.0475
35,KRN,5A,5A-3,52.424966,2515.545207,322702.4965
36,KRN,5A,5A-1,46.275741,2487.281616,284847.5868
37,KRN,5A,5A-7,48.513815,2264.612916,298597.1218
38,KRN,5A,5A-4,46.75492,2385.233391,287773.6587
39,KRN,4A,4A-1,48.107116,2518.557717,296063.0129
40,KRN,4A,4A-3,22.18585,1753.988258,136540.9438
41,KRN,4A,4A-6,65.840955,2532.995289,405199.8401
42,KRN,4A,4A-2,43.13096,2163.371467,265412.5045
43,KRN,4A,4A-7,45.937042,2342.046247,282680.1293
44,KRN,4B,4B-1,63.90007,2505.597429,393165.9332
45,KRN,4B,4B-2,43.653576,2191.529955,268592.4995
46,KRN,4B,4B-4,21.251737,1633.622885,130754.4529
47,KRN,4A,4A-5,54.220403,3509.748478,333640.9683
48,KRN,14,14G-2,119.756355,4463.806221,737402.2876
49,KRN,14,14E-2,81.555367,3735.578135,502059.3606
50,KRN,14,14D-2,63.548501,2898.030645,391139.1805
51,KRN,14,14C-2,58.823077,2551.126515,362044.8738
52,KRN,14,14B-1,75.654695,2942.047872,465597.3884
53,KRN,14,14A-2,53.556475,2366.180638,329555.2037
54,PIX,1,1,140.944939,4823.505726,871470.6856
55,PIX,8B,8B,43.953099,2267.427858,271706.1964
56,PIX,6,6,114.258031,3944.18327,706337.6538
57,PIX,7A,7A,31.288205,1956.179244,193430.1184
58,PIX,9A,9A,30.509992,1787.143493,188621.2139
59,PIX,9B,9B,33.344345,2149.994735,206126.353
60,PIX,8A,8A,28.727962,1892.130791,177603.5157
61,PIX,7B,7B,30.195156,1947.860325,186657.1443
62,PIX,4,4,44.630957,2604.598179,275957.1965
63,PIX,4A,4A,45.149658,2617.625326,279164.413
64,PIX,3A,3A,74.103521,2751.296819,458207.8937
65,PIX,3,3,48.356162,2260.484874,298978.0766
66,PIX,2,2,49.604495,3187.599686,306708.6721
67,PIX,2A,2A,55.426956,3522.785948,342710.2076
68,SAC,T36,T36:2,50.429635,2630.738382,342100.6411
69,SAC,P7A,P7A:4,51.162204,2574.665871,347142.2594
70,SAC,T35,T35:1,42.829249,2586.777756,290531.8869
71,SAC,T10,T10:3,56.313417,2579.074386,382467.102
72,SAC,T14,T14:2,36.029839,2035.290405,244674.0862
73,SAC,T36,T36:1,23.220174,1685.809141,157530.1576
74,SAC,P8,P8:1,59.677691,3090.279883,404879.3271
75,SAC,T14,T14:1,33.013045,1881.971461,224187.4715
76,SAC,P1A,P1A:1,117.422706,5498.634596,797550.9694
77,SLW,Lewis 1,22,29.525171,2489.309107,194940.4975
78,SLW,Lewis 6,22,58.580631,2648.574996,386778.7176
79,SLW,HQ-7,27a,87.394468,3483.534058,576109.1353
80,SLW,LIC,57,70.778576,2887.697157,466422.8728
81,SLW,Beach Lake 3,Beach Lake 3,18.142401,1572.375336,119831.1539
82,SLW,Beach Lake 1,Beach Lake 1,40.68071,2455.145792,268722.5554