"","OBJECTID","LIT","Unit_Name","Subunit_Name","Acreage","Shape_Length","Shape_Area"
"1",1,"SLW","Lewis 1","22",29.52519661,2489.309107,194940.4975
"2",2,"SLW","Lewis 6","22",58.58068249,2648.574996,386778.7176
"3",3,"SLW","HQ-7","27a",87.39454552,3483.534058,576109.1353
"4",4,"SLW","LIC","57",70.77863814,2887.697157,466422.8728
"5",5,"SLW","Beach Lake 3","Beach Lake 3",18.14241719,1572.375336,119831.1539
"6",6,"SLW","Beach Lake 1","Beach Lake 1",40.68074592,2455.145792,268722.5554
"7",7,"PIX","1","1",140.9450633,4823.505726,871470.6856
"8",8,"PIX","8B","8B",43.95313835,2267.427858,271706.1964
"9",9,"PIX","6","6",114.2581316,3944.18327,706337.6538
"10",10,"PIX","7A","7A",31.28823217,1956.179244,193430.1184
"11",11,"PIX","9A","9A",30.51001883,1787.143493,188621.2139
"12",12,"PIX","9B","9B",33.34437476,2149.994735,206126.353
"13",13,"PIX","8A","8A",28.727987,1892.130791,177603.5157
"14",14,"PIX","7B","7B",30.19518305,1947.860325,186657.1443
"15",15,"PIX","4","4",44.63099638,2604.598179,275957.1965
"16",16,"PIX","4A","4A",45.14969748,2617.625326,279164.413
"17",17,"PIX","3A","3A",74.10358687,2751.296819,458207.8937
"18",18,"PIX","3","3",48.35620499,2260.484874,298978.0766
"19",19,"PIX","2","2",49.60453871,3187.599686,306708.6721
"20",20,"PIX","2A","2A",55.42700528,3522.785948,342710.2076
"21",21,"MDC","Grandma Tract 10","Grandma Tract 10",34.57202012,2078.277959,249485.3903
"22",22,"MDC","Grandma Tract 2","Grandma Tract 2",20.98724649,1770.926204,151469.9869
"23",23,"MDC","Grandma Tract 3","Grandma Tract 3",30.84290732,1981.010651,222600.9587
"24",24,"MDC","Grandma Tract 4","Grandma Tract 4",29.47455689,1974.621802,212724.9458
"25",25,"MDC","Grandma Tract 7","Grandma Tract 7",35.26217955,2032.945301,254465.6257
"26",26,"MDC","Grandma Tract 8","Grandma Tract 8",27.59091936,1994.938154,199107.8988
"27",27,"MDC","Grandma Tract 9","Grandma Tract 9",27.55813315,1920.019571,198871.0727
"28",28,"MDC","Grandma Tract 11","Grandma Tract 11",14.94748643,1280.652421,107869.8024
"29",29,"MDC","Gadwall","Gadwall",64.31560295,3278.235359,463798.4738
"30",30,"MDC","J Pond","J Pond",56.4083263,2781.581271,406729.7686
"31",31,"MDC","House Field","House Field",62.73892947,3673.088098,452332.3883
"32",32,"MDC","Matney 3","Matney 3",29.66714927,1813.275715,213868.8739
"33",33,"MDC","Matney 4 North","Matney 4 North",20.48832782,1550.173022,147698.0136
"34",34,"MDC","Matney 8","Matney 8",31.0923477,2167.511139,224097.1718
"35",35,"MDC","South Dam Pond","South Dam Pond",20.98358459,1570.646885,151158.0011
"36",36,"MDC","Matney 6","Matney 6",23.30735502,1721.51823,168003.556
"37",37,"MDC","Matney 4 South","Matney 4 South",18.69113856,1710.271472,134730.3832
"38",38,"MDC","Matney 7","Matney 7",24.99200217,1854.133443,180123.7327
"39",39,"MDC","Flournoy Pond","Flournoy Pond",53.68736606,3371.78002,387352.8404
"40",40,"MDC","Duck Ponds","Duck Ponds",177.1639493,4820.147765,1278048.986
"41",41,"MDC","Upper Goose Pond","Upper Goose Pond",52.4516678,2883.526341,378180.2069
"42",42,"KRN","14","14G-1",133.0157014,4567.359375,819013.1801
"43",43,"KRN","14","14E-1",85.87896493,4701.339064,528684.7243
"44",44,"KRN","14","14-F",102.5051135,3659.738623,631065.3771
"45",45,"KRN","14","14C-1",92.72155646,3185.968451,570735.6665
"46",46,"KRN","14","14A-1",60.39697053,2920.076827,371671.4151
"47",47,"KRN","14","14B-2",91.71508333,4035.488272,564421.4847
"48",48,"KRN","14","14D-1",82.39702012,4161.784749,507171.5126
"49",49,"KRN","6A","6A-1",53.92744619,2596.715683,332046.9956
"50",50,"KRN","6A","6A-2",50.00555584,2510.185502,307900.9825
"51",51,"KRN","6A","6A-4",28.40999815,1984.445015,174933.6402
"52",52,"KRN","6A","6A-5",34.05345346,2263.467626,209671.517
"53",53,"KRN","5B","5B-1",22.79870207,1751.653585,140361.8839
"54",54,"KRN","5B","5B-3",57.5442098,2461.035568,354259.8943
"55",55,"KRN","5B","5B-5",50.14786394,2474.70688,308732.6912
"56",56,"KRN","5B","5B-6",31.98835362,2015.634124,196939.4365
"57",57,"KRN","5B","5B-2",29.47975983,1849.395774,181479.9612
"58",58,"KRN","5B","5B-7",29.78457267,2139.20087,183353.5265
"59",59,"KRN","5A","5A-5",33.0281061,2056.758446,203307.0475
"60",60,"KRN","5A","5A-3",52.42501248,2515.545207,322702.4965
"61",61,"KRN","5A","5A-1",46.27578177,2487.281616,284847.5868
"62",62,"KRN","5A","5A-7",48.51385747,2264.612916,298597.1218
"63",63,"KRN","5A","5A-4",46.75496151,2385.233391,287773.6587
"64",64,"KRN","4A","4A-1",48.10715878,2518.557717,296063.0129
"65",65,"KRN","4A","4A-3",22.18586944,1753.988258,136540.9438
"66",66,"KRN","4A","4A-6",65.8410128,2532.995289,405199.8401
"67",67,"KRN","4A","4A-2",43.13099831,2163.371467,265412.5045
"68",68,"KRN","4A","4A-7",45.93708218,2342.046247,282680.1293
"69",69,"KRN","4B","4B-1",63.90012641,2505.597429,393165.9332
"70",70,"KRN","4B","4B-2",43.65361501,2191.529955,268592.4995
"71",71,"KRN","4B","4B-4",21.25175568,1633.622885,130754.4529
"72",72,"KRN","4A","4A-5",54.22045057,3509.748478,333640.9683
"73",73,"KRN","14","14G-2",119.7564604,4463.806221,737402.2876
"74",74,"KRN","14","14E-2",81.55543923,3735.578135,502059.3606
"75",75,"KRN","14","14D-2",63.54855722,2898.030645,391139.1805
"76",76,"KRN","14","14C-2",58.82312853,2551.126515,362044.8738
"77",77,"KRN","14","14B-1",75.65476201,2942.047872,465597.3884
"78",78,"KRN","14","14A-2",53.55652265,2366.180638,329555.2037
"79",79,"KRN","6A","6A-3",53.34503461,2626.607387,328462.2933
"80",80,"KRN","5B","5B-8",47.83110864,2726.359806,294450.6797
"81",81,"KRN","5A","5A-6",34.83575791,2624.624336,214410.1437
"82",82,"KRN","4A","4A-4",50.91961701,2703.168591,313364.8553
"83",83,"KRN","4B","4B-3",46.88521752,2377.052278,288488.5753
